processes: 2, threads: 4, L: 3.14159, grid_size: 256, T: 1, time_grid_size: 512, steps: 20, error: 1.40487e-05, min: 12.2176, max: 12.2179, avg: 12.2178
processes: 2, threads: 8, L: 3.14159, grid_size: 256, T: 1, time_grid_size: 512, steps: 20, error: 1.40487e-05, min: 6.43147, max: 6.46682, avg: 6.44914
processes: 4, threads: 1, L: 3.14159, grid_size: 256, T: 1, time_grid_size: 512, steps: 20, error: 1.40487e-05, min: 26.2752, max: 26.3187, avg: 26.3058
processes: 4, threads: 2, L: 3.14159, grid_size: 256, T: 1, time_grid_size: 512, steps: 20, error: 1.40487e-05, min: 13.4835, max: 13.4881, avg: 13.4862
processes: 4, threads: 4, L: 3.14159, grid_size: 256, T: 1, time_grid_size: 512, steps: 20, error: 1.40487e-05, min: 7.27326, max: 7.27695, avg: 7.27542
processes: 4, threads: 8, L: 3.14159, grid_size: 256, T: 1, time_grid_size: 512, steps: 20, error: 1.40487e-05, min: 3.64438, max: 3.66245, avg: 3.65402
processes: 8, threads: 1, L: 3.14159, grid_size: 256, T: 1, time_grid_size: 512, steps: 20, error: 1.40487e-05, min: 15.2555, max: 15.2775, avg: 15.2711
processes: 8, threads: 2, L: 3.14159, grid_size: 256, T: 1, time_grid_size: 512, steps: 20, error: 1.40487e-05, min: 8.15912, max: 8.19223, avg: 8.17174
processes: 8, threads: 4, L: 3.14159, grid_size: 256, T: 1, time_grid_size: 512, steps: 20, error: 1.40487e-05, min: 4.44137, max: 4.45253, avg: 4.44492
processes: 8, threads: 8, L: 3.14159, grid_size: 256, T: 1, time_grid_size: 512, steps: 20, error: 1.40487e-05, min: 3.50932, max: 3.51891, avg: 3.51408
